antecedents,consequents,support,confidence,lift
84596F,84596B,0.0203,0.8014,26.2046
84596B,84596F,0.0203,0.6634,26.2046
22577,22578,0.0223,0.723,24.9748
22578,22577,0.0223,0.7699,24.9748
"22699, 22697",22698,0.0298,0.7029,16.6269
22698,"22699, 22697",0.0298,0.7049,16.6269
22866,22865,0.02,0.6187,16.2673
"22699, 22698",22697,0.0298,0.9028,15.9938
"22698, 22697",22699,0.0298,0.8542,14.7996
22698,22697,0.0349,0.8252,14.6201
22697,22698,0.0349,0.618,14.6201
22630,22629,0.0258,0.6094,14.3554
22629,22630,0.0258,0.6077,14.3554
"22699, 22423",22697,0.0217,0.7907,14.0095
"22423, 22697",22699,0.0217,0.7907,13.7008
22698,22699,0.033,0.7808,13.5284
23301,23300,0.0328,0.6031,13.2961
23300,23301,0.0328,0.7223,13.2961
22356,20724,0.029,0.7117,13.0146
22697,22699,0.0424,0.7511,13.0133
22699,22697,0.0424,0.7345,13.0133
23200,23199,0.0225,0.6801,12.6886
20719,22355,0.025,0.6074,12.5201
20723,20724,0.0277,0.6805,12.4441
22730,22727,0.0207,0.6552,11.645
20719,20724,0.026,0.6324,11.563
22727,22726,0.0341,0.606,11.4888
22726,22727,0.0341,0.6464,11.4888
21791,21790,0.0202,0.6044,11.4308
22910,22086,0.0326,0.6759,9.9822
23200,23203,0.0212,0.6399,9.3333
"22384, 20725",20727,0.021,0.6245,8.4947
"22384, 20727",20725,0.021,0.6628,7.8626
"20727, 22383",20725,0.0209,0.6106,7.2432
"22386, 22411",85099B,0.0222,0.8062,6.933
"22386, 21931",85099B,0.0245,0.802,6.897
"21931, 22411",85099B,0.0233,0.7485,6.4374
22386,85099B,0.0475,0.6785,5.8349
21928,85099B,0.0313,0.6697,5.7593
20711,85099B,0.0205,0.668,5.7447
85099F,85099B,0.0312,0.6624,5.6965
20712,85099B,0.0287,0.6449,5.5461
85099C,85099B,0.0345,0.6305,5.4226
22385,85099B,0.0236,0.628,5.401
21931,85099B,0.0423,0.6177,5.3122
21733,85123A,0.028,0.6591,5.2169
20713,85099B,0.0224,0.6066,5.2164
